aa_slug,aa_name,aa_model_creator_name,aa_model_creator_name_CN,is_cn_provider,aa_intelligence_index,aa_coding_index,aa_gpqa,aa_hle,aa_ifbench,aa_lcr,aa_scicode,aa_terminalbench_hard,aa_tau2,aa_ttft_seconds,aa_tps,aa_price_input_usd,aa_price_output_usd,aa_price_blended_usd,aa_context_length,or_architecture_input_modalities,aa_release_date,has_aa,has_or,match_confidence,record_date,updated_at
deepseek-r1,DeepSeek R1 0528 (May '25),DeepSeek,深度求索Deepseek,true,27,24,0.813,0.149,0.396,0.547,0.403,0.159,0.365,0,0,1.35,4.2,2.362,64000,"[""text""]",2025-05-28,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,DeepSeek,深度求索Deepseek,true,16,11.4,0.402,0.061,0.276,0.11,0.312,0.015,0.219,0.791,56.779,0.7,1.05,0.875,131072,"[""text""]",2025-01-20,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,DeepSeek,深度求索Deepseek,true,17.2,,0.615,0.055,0.229,0.097,0.376,,,0.254,56.405,0.27,0.27,0.27,32768,"[""text""]",2025-01-20,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
minimax-m2,MiniMax-M2,MiniMax,Minimax,true,36,29.2,0.777,0.125,0.723,0.61,0.361,0.258,0.868,2.313,61.285,0.3,1.2,0.525,196608,"[""text""]",2025-10-26,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
nvidia-nemotron-3-nano-30b-a3b,NVIDIA Nemotron 3 Nano 30B A3B (Non-reasoning),NVIDIA,,false,13.3,15.8,0.399,0.046,0.375,0.067,0.23,0.121,0.254,0.249,120.177,0.055,0.22,0.096,262144,"[""text""]",2025-12-15,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
nvidia-nemotron-nano-9b-v2,NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,,false,13.1,7.5,0.557,0.04,0.271,0.227,0.209,0.008,0.234,0.552,117.947,0.06,0.23,0.102,131072,"[""text""]",2025-08-18,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
olmo-3-32b-think,Olmo 3 32B Think,Allen Institute for AI,,false,12,10.5,0.61,0.059,0.491,0,0.286,0.015,0,0,0,0,0,0,65536,"[""text""]",2025-11-20,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
olmo-3-7b-think,Olmo 3 7B Think,Allen Institute for AI,,false,9.5,7.6,0.516,0.057,0.415,0,0.212,0.008,0,0.608,171.517,0.12,0.2,0.14,65536,"[""text""]",2025-11-20,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
qwen-turbo,Qwen2.5 Turbo,Alibaba,阿里巴巴,true,12,,0.41,0.042,,,0.153,,,0.98,64.48,0.05,0.2,0.087,131072,"[""text""]",2024-11-18,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
qwen3-coder-30b-a3b-instruct,Qwen3 Coder 30B A3B Instruct,Alibaba,阿里巴巴,true,20,19.4,0.516,0.04,0.327,0.29,0.278,0.152,0.345,1.376,21.215,0.45,2.25,0.9,160000,"[""text""]",2025-07-31,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
qwen3-next-80b-a3b-instruct,Qwen3 Next 80B A3B Instruct,Alibaba,阿里巴巴,true,20.1,15.3,0.738,0.073,0.397,0.513,0.307,0.076,0.216,1.082,140.77,0.5,2,0.875,262144,"[""text""]",2025-09-11,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
qwen3-vl-30b-a3b-instruct,Qwen3 VL 30B A3B Instruct,Alibaba,阿里巴巴,true,16,14.3,0.695,0.064,0.331,0.237,0.308,0.061,0.19,0.921,105.402,0.2,0.8,0.35,131072,"[""text"", ""image""]",2025-10-03,True,True,medium,2026-02-23,2026-02-23T07:34:11.291967+00:00
